gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,coordinator,0.843307384341637,0,0.7300332056612213,"Betweenness top 22.1%, PageRank top 24.0%; межкластерных связей 3, близость к seed 0.68. Паттерны: циклов 1."
100000000018102100,coordinator,0.39923309608540924,3,0.3333174979231118,"Betweenness top 63.3%, PageRank top 45.5%; межкластерных связей 0, близость к seed 0.29. Граница depth=4: исходящий поток может быть усечён."
100000000031787100,transit,0.9329759786476869,6,0.6589630169000402,"Получено 90.0 тыс., отправлено 90.0 тыс. KZT; совпадение потоков 100%, быстрое перенаправление 33%. Паттерны: циклов 1."
100000000041368100,terminal,0.7864368327402135,2,0.536920703040852,"Получено 160.0 тыс. KZT от 1 отправителей, исходящий поток 0 KZT; средства преимущественно остаются."
100000000076451100,distributor,0.789345873580749,15,0.6460490151736813,"Отправляет 4 получателям (top 6.5%), 4 переводов на 58.0 тыс. KZT; выраженный fan-out. Паттерны: циклов 2."
100000000089154100,distributor,0.9512555604982207,0,0.7329005354899983,"Отправляет 15 получателям (top 1.8%), 21 переводов на 425.5 тыс. KZT; выраженный fan-out. Паттерны: циклов 57, дроблений 2."
100000000190228100,coordinator,0.6357184163701068,7,0.5156635571205189,"Betweenness top 14.3%, PageRank top 12.5%; межкластерных связей 0, близость к seed 0.36."
100000000201868100,transit,0.9935542704626334,54,0.6033635835371298,"Получено 190.0 тыс., отправлено 190.0 тыс. KZT; совпадение потоков 100%, быстрое перенаправление 100%. Паттерны: циклов 1."
100000000254336100,transit,0.8290491921004697,0,0.5790041987077077,"Получено 97.2 тыс., отправлено 60.0 тыс. KZT; совпадение потоков 62%, быстрое перенаправление 100%."
100000000267734100,distributor,0.879530693950178,6,0.7249265459149312,"Отправляет 7 получателям (top 3.7%), 8 переводов на 282.0 тыс. KZT; выраженный fan-out. Паттерны: циклов 1."
100000000274067100,distributor,0.8365342526690392,6,0.7604023504338355,"Отправляет 3 получателям (top 8.9%), 9 переводов на 2.97 млн KZT; выраженный fan-out. Паттерны: циклов 1, повторных маршрутов 2."
100000000287768100,terminal,0.7007339857651246,0,0.4146175136795737,"Получено 35.2 тыс. KZT от 1 отправителей, исходящий поток 0 KZT; средства преимущественно остаются."
100000000288317100,distributor,0.7753709964412813,3,0.5986356379124003,"Отправляет 3 получателям (top 8.9%), 3 переводов на 53.5 тыс. KZT; выраженный fan-out."
100000000291906100,transit,0.8582826354841995,49,0.6457883943631291,"Получено 388.0 тыс., отправлено 455.9 тыс. KZT; совпадение потоков 85%, быстрое перенаправление 40%. Паттерны: циклов 1."
100000000291908100,coordinator,0.6328781138790036,49,0.5022076249274554,"Betweenness top 15.8%, PageRank top 8.8%; межкластерных связей 0, близость к seed 0.32."
100000000297649100,distributor,0.7331746737841045,11,0.5549578263551012,"Отправляет 1 получателям (top 23.8%), 2 переводов на 70.6 тыс. KZT; выраженный fan-out. Паттерны: циклов 1."
100000000299820100,coordinator,0.43326334519572957,3,0.354647569097489,"Betweenness top 63.3%, PageRank top 25.5%; межкластерных связей 0, близость к seed 0.29. Граница depth=4: исходящий поток может быть усечён."
100000000307908100,terminal,0.6005160142348754,42,0.3507329080765023,"Получено 5.0 тыс. KZT от 1 отправителей, исходящий поток 0 KZT; средства преимущественно остаются."
100000000331309100,distributor,0.9460421799434255,4,0.8175804205951572,"Отправляет 99 получателям (top 0.1%), 126 переводов на 23.00 млн KZT; выраженный fan-out. Паттерны: циклов 32, повторных маршрутов 2, цепочек A→B→C 1, дроблений 5, синхронных дней 1."
100000000332284100,coordinator,0.8837633451957295,4,0.6929766564933535,"Betweenness top 6.5%, PageRank top 8.5%; межкластерных связей 11, близость к seed 0.36. Паттерны: дроблений 1, синхронных дней 1."
100000000343175100,transit,0.9800800711743772,9,0.8655751119298144,"Seed с неполным входящим потоком; отправлено 4.00 млн KZT 31 получателям, быстрое перенаправление 79%. Паттерны: повторных маршрутов 1, дроблений 1."
